id,created_at,text
876941167786590209,2017-06-19 23:14:01,"b""\xf0\x9f\xa4\xa1honk if you've got jokes (they literally honk) \xf0\x9f\xa4\xa1 https://t.co/8mWOnoKjD1"""
876648636217778178,2017-06-19 03:51:36,"b'thank you for still giving me the platform to sing, dance &amp; feel with you around the world \xf0\x9f\x8c\x8e I pray I never take this job for granted \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\xb6'"
876223973545041920,2017-06-17 23:44:09,"b""HOPE YOU'RE HAVING A BALL THIS SATURDAY \xf0\x9f\x92\x81\xf0\x9f\x8f\xbc\xf0\x9f\x8f\x93 https://t.co/eHIDuEc3re"""
876214527620022272,2017-06-17 23:06:37,b'ICYMI on #KPWWW: Katy on #MostRequestedLive w/ @MaxwellsHouse &amp; @OnAirRomeo @ 8:30p ET + request #SwishSwish https://t.co/qX7Dtho75e -TeamKP'
875913152931799041,2017-06-17 03:09:03,"b""When one pop up ends, another begins! This time it's Tokyo's turn! Check out the @kpcollections pop up at Laforet H\xe2\x80\xa6 https://t.co/e2xKVEfdp0"""
875855441535746049,2017-06-16 23:19:44,b'LAST 4 HRS \xe2\x9d\x97\xef\xb8\x8fSee #KPWWW HQ and get a last look at exclusive merch before it closes at 8:00 PM \xe2\x9d\x97\xef\xb8\x8f-TeamKP https://t.co/NhoNPfYyhX'
875846523048742912,2017-06-16 22:44:18,b'ICYMI on #KPWWW -TeamKP https://t.co/gOLdhNhsC0'
875828566373441536,2017-06-16 21:32:56,b'RT @kaylaschmitz3: Trying to keep my cool at #KPWWW @katyperry https://t.co/OdQz3B4rJi'
875828494768283648,2017-06-16 21:32:39,b'RT @paulboy: @katyperry Call me nugget because I will always protect you when left shark comes to wake you up! Woof! \xf0\x9f\x90\xb6 #kpwww last day \xe2\x9d\xa4\xef\xb8\x8f h\xe2\x80\xa6'
875828382298021888,2017-06-16 21:32:13,b'RT @TweenDream: #KPWWW So gorgeous getting to experience this in person \xf0\x9f\x92\x98 Thanks for the merchandise and great album @katyperry \xf0\x9f\x92\x96\xf0\x9f\x92\x9e https://\xe2\x80\xa6'
875814881357774848,2017-06-16 20:38:34,b'RT @johnlordperry: I AM READY TO DRINK WITH THIS CUPS #KPWWW @katyperry https://t.co/aZjxRcOk1V'
875814839481884672,2017-06-16 20:38:24,b'RT @Favian_Flores: @katyperry made it before it all ends.. new music #feels as well \xf0\x9f\x98\x8d#KPWWW #POPIT #WITNESS https://t.co/wLlK6za8ED'
875814812336308224,2017-06-16 20:38:17,b'RT @johnlordperry: THIS ART IS EVERYTHING @katyperry #KPWWW https://t.co/VSwENDhHv4'
875814715066269696,2017-06-16 20:37:54,b'RT @alechuerta: intently listening to @AwkwardAya spill some tea at @katyperry HQ #KPWWW https://t.co/IKNhinV4MX'
875814369908674561,2017-06-16 20:36:32,b'RT @viva_la_eva_: @katyperry please set the queen @AwkwardAya free #KPWWW https://t.co/Hy3iBWa9Ip'
