id,created_at,text
876802231638659072,2017-06-19 14:01:56,b'RT @smallbusiness: Lessons in #success from a scientist who after 27 failures was chosen by a world famous orchestra #MondayMotivation http\xe2\x80\xa6'
876146888743038977,2017-06-17 18:37:50,b'No time like the present to start a #SmallBusiness blog. https://t.co/ISxq65epaO'
875747555430346753,2017-06-16 16:11:02,"b""RT @smallbusiness: What #Amazon's acquisition of #WholeFoods means for #SmallBusiness | https://t.co/l5uDogmF00 HT / @Techmeme https://t.co\xe2\x80\xa6"""
875428224460886016,2017-06-15 19:02:08,"b""Happy #615 Day. In #Nashville we'll celebrate anything, even our area code."""
872949378532724737,2017-06-08 22:52:05,b'The funniest NewYorker video ever (that refers to the National Magazine Award). (via https://t.co/dL75QtDJxs) -\xe2\x80\xa6 https://t.co/7D2NLkRxLW'
872863581469102088,2017-06-08 17:11:09,"b'Blogs are about *your* brand, not the brand of a big social-media tech company. https://t.co/5azeZEMvjb'"
870682601358360580,2017-06-02 16:44:43,"b'Pinboard Acquires Delicious (Yes, it Still Exists) https://t.co/3WyS3aT79f https://t.co/0uZctLHt1r'"
869979018594013187,2017-05-31 18:08:56,"b""After the recent GMail/Google Docs phishing hack, Google's been working on a major fix. They explain it here. https://t.co/WwbUQCvg5f"""
869893556646883328,2017-05-31 12:29:20,b'RT @smallbusiness: Is your business ready for hyper-connected customers? 1/3rd of Americans live in homes with 3 or more smartphones.\nhttps\xe2\x80\xa6'
868159876974993412,2017-05-26 17:40:18,"b""RT @HammockInc: In this week's #IdeaEmail, A Lesson to Learn from Social Media Techno-Fiction https://t.co/Y0w8G3Nwhg https://t.co/cBIb35sE\xe2\x80\xa6"""
865261077466140672,2017-05-18 17:41:31,b'RT @smallbusiness: #Deloitte and #Google research reveals correlation between use of digital tools and #SmallBusiness success https://t.co/\xe2\x80\xa6'
864177941940387840,2017-05-15 17:57:31,"b'Former #1 tech support reason for anything: ""It\'s a caching issue."" New #1 reason: ""You didn\'t upgrade it..""'"
863104925001232384,2017-05-12 18:53:44,b'RT @HammockInc: Information tools are the magnets of great websites. https://t.co/q3O6ZuN3Bg https://t.co/UzFlsZfd3v'
862048948495802368,2017-05-09 20:57:40,"b'While commuting to work on my bike today, a man in a truck pulled up beside me and said, ""Saving the earth?"" I should tweet this, I thought.'"
861644825606717443,2017-05-08 18:11:49,"b'RT @smallbusiness: ""You have to be for something..."" #MondayMotivation from Harry S. Truman on his 133rd birthday anniversary. https://t.co\xe2\x80\xa6'"
860560973391953921,2017-05-05 18:24:59,"b""Can't believe I missed World Password Day yesterday. I typically celebrate it w/ annual change from ABC to 123."""
860113146710773760,2017-05-04 12:45:28,b'FYI https://t.co/033Wk0GQYs'
859851743177445378,2017-05-03 19:26:45,"b""@mathowie @sthig Me too. I've just sent a ridiculous number of google doc shares. ; ("""
859851419192578048,2017-05-03 19:25:28,"b'If you received an email from me re: saying I want to share a Google Docs doc with you, just delete it. Phishing attack I fell for.'"
859220790289584132,2017-05-02 01:39:34,"b""What's the beard-like thing tied under his chin? Next hipster facial hair? #BadHairDay https://t.co/PaQ6Vgwu7n"""
858688285031317505,2017-04-30 14:23:35,b'My non-spoiler @R eview of the film #TheCircle https://t.co/W7PqfflV8w https://t.co/DheHtEsocH'
