id,created_at,text
877474368661618688,2017-06-21 10:32:46,"b""Democrats would do much better as a party if they got together with Republicans on Healthcare,Tax Cuts,Security. Obstruction doesn't work!"""
877372660455546880,2017-06-21 03:48:37,"b'Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O! All the Fake News, all the money spent = 0'"
877363446530007040,2017-06-21 03:12:00,"b""Ralph Norman ran a fantastic race to win in the Great State of South Carolina's 5th District. We are all honored by your success tonight!"""
877355739383287808,2017-06-21 02:41:23,"b'Congratulations to Karen Handel on her big win in Georgia 6th. Fantastic job, we are all very proud of you!'"
877353797760286720,2017-06-21 02:33:40,"b'Thank you @FoxNews ""Huge win for President Trump and GOP in Georgia Congressional Special Election.""'"
877350761742688256,2017-06-21 02:21:36,b'Things are looking great for Karen H!'
877341043171241984,2017-06-21 01:42:59,b'It was a great honor to welcome President Petro Poroshenko of Ukraine to the @WhiteHouse today with @VP Pence.\n\xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/J1ulOd6pYQ'
877234140483121152,2017-06-20 18:38:11,"b'While I greatly appreciate the efforts of President Xi &amp; China to help with North Korea, it has not worked out. At least I know China tried!'"
877204691851108353,2017-06-20 16:41:10,b'The U.S. once again condemns the brutality of the North Korean regime as we mourn its latest victim. Video: https://t.co/Rvm11ZbPk7'
877104262463008771,2017-06-20 10:02:06,"b'KAREN HANDEL FOR CONGRESS. She will fight for lower taxes, great healthcare strong security-a hard worker who will never give up! VOTE TODAY'"
877101828143542272,2017-06-20 09:52:26,"b""RT @SheriffClarke: Happy Father's Day to all dads. My dad. Like father, like son, @realDonaldTrump supporters to the end. He an Airborne Ra\xe2\x80\xa6"""
877101173412638720,2017-06-20 09:49:50,"b""Democrat Jon Ossoff, who wants to raise your taxes to the highest level and is weak on crime and security, doesn't even live in district."""
876964061027684352,2017-06-20 00:45:00,"b'Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct, no ideas. Vote ""R""'"
876952186143506432,2017-06-19 23:57:48,"b""RT @joegooding: What's happening in our country isn't just an assault on our @POTUS @realDonaldTrump it's an assault on the American people\xe2\x80\xa6"""
876951845880688644,2017-06-19 23:56:27,b'RT @FoxNews: New Poll Shows @POTUS Approval at 50 Percent\nhttps://t.co/FRWlSVvxzQ'
876948721468141573,2017-06-19 23:44:02,b'Melania and I offer our deepest condolences to the family of Otto Warmbier. Full statement: https://t.co/8kmcA6YtFD https://t.co/EhrP4BiJeB'
876921011668738050,2017-06-19 21:53:56,b'It was my great honor to welcome President @JC_Varela &amp; Mrs. Varela from Panama this afternoon.\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xb5\xf0\x9f\x87\xa6\n\xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/770OJj2uYb'
876901304207069185,2017-06-19 20:35:37,"b""....because he doesn't even live there! He wants to raise taxes and kill healthcare. On Tuesday, #VoteKarenHandel."""
876900944444837890,2017-06-19 20:34:11,"b""Karen Handel's opponent in #GA06 can't even vote in the district he wants to represent...."""
876899250071904256,2017-06-19 20:27:27,b'....getting great border security and healthcare. #VoteRalphNorman tomorrow!'
876899176562524160,2017-06-19 20:27:10,"b""Ralph Norman, who is running for Congress in SC's 5th District, will be a fantastic help to me in cutting taxes, and...."""
876896144944762880,2017-06-19 20:15:07,b'My heartfelt thoughts and prayers are with the 7 @USNavy sailors of the #USSFitzgerald and their families. \xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/L3u5c8Iymh'
876778344636928000,2017-06-19 12:27:01,"b""The Dems want to stop tax cuts, good healthcare and Border Security.Their ObamaCare is dead with 100% increases in P's. Vote now for Karen H"""
876558248631042049,2017-06-18 21:52:26,"b""RT @WhiteHouse: Happy Father's Day! https://t.co/32tFoVa4Ov"""
876558049565188096,2017-06-18 21:51:39,b'Camp David is a very special place. An honor to have spent the weekend there. Military runs it so well and are so proud of what they do!'
876552203187736577,2017-06-18 21:28:25,"b'RT @DonaldJTrumpJr: Not surprising at all! \nFather Of Otto Warmbier: Obama Admin Told Us To Keep Quiet, Trump Admin Brought Him Home  https\xe2\x80\xa6'"
876546864669237253,2017-06-18 21:07:12,"b""RT @DiamondandSilk: The Media Says:  The President Should Stop Tweeting about Russia. \n Well, Why Don't the Media Take Their Own Advice &amp; S\xe2\x80\xa6"""
876394578777174021,2017-06-18 11:02:04,"b""The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating.That's higher than O's #'s!"""
876390681056600066,2017-06-18 10:46:35,"b'...massive regulation cuts, 36 new legislative bills signed, great new S.C.Justice, and Infrastructure, Healthcare and Tax Cuts in works!'"
876388733607694336,2017-06-18 10:38:51,"b'The MAKE AMERICA GREAT AGAIN agenda is doing very well despite the distraction of the Witch Hunt. Many new jobs, high business enthusiasm,..'"
876079184417882116,2017-06-17 14:08:48,b'Thoughts and prayers with the sailors of USS Fitzgerald and their families. Thank you to our Japanese allies for th\xe2\x80\xa6 https://t.co/BBvmTFxVkk'
875888479942651909,2017-06-17 01:31:01,b'RT @seanhannity: #Hannity Starts in 30 minutes with @newtgingrich and my monologue on the Deep State\xe2\x80\x99s allies in the media'
875888258407858176,2017-06-17 01:30:08,b'Back from Miami where my Cuban/American friends are very happy with what I signed today. Another campaign promise that I did not forget!'
875843513761583104,2017-06-16 22:32:20,"b'""National Security Presidential Memorandum on Strengthening the Policy of the United States Toward Cuba""\nMemorandum\xe2\x80\xa6 https://t.co/RVr9Dg2hXt'"
875840132238032897,2017-06-16 22:18:54,"b'""Remarks by President Trump on the Policy of the U.S.A. Towards Cuba""\nVideo: https://t.co/jUWCjgxX5D\nTranscript:\xe2\x80\xa6 https://t.co/hILCHbPJet'"
875732813278048256,2017-06-16 15:12:27,b'Great news! #MAGA https://t.co/pirHR7lAyT'
875701471999864833,2017-06-16 13:07:55,b'I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt'
875698062030778368,2017-06-16 12:54:22,"b'Despite the phony Witch Hunt going on in America, the economic &amp; jobs numbers are great. Regulations way down, jobs and enthusiasm way up!'"
875690204564258816,2017-06-16 12:23:08,b'The Fake News Media hates when I use what has turned out to be my very powerful Social Media - over 100 million people! I can go around them'
875682853585129472,2017-06-16 11:53:56,"b'After 7 months of investigations &amp; committee hearings about my ""collusion with the Russians,""  nobody has been able to show any proof. Sad!'"
875500520840060928,2017-06-15 23:49:24,b'#CongressionalBaseballGame\xe2\x9a\xbe\xef\xb8\x8f https://t.co/u8InOJTf6D'
875468769212149760,2017-06-15 21:43:14,b'Thank you Wisconsin! Tuesday was a great success for #WorkforceWeek at @WCTC w/ @IvankaTrump &amp; @GovWalker. \nRemarks\xe2\x80\xa6 https://t.co/L8o396yYKX'
875441788110110727,2017-06-15 19:56:01,"b""Crooked H destroyed phones w/ hammer, 'bleached' emails, &amp; had husband meet w/AG days before she was cleared- &amp; they talk about obstruction?"""
875438639823675392,2017-06-15 19:43:31,"b'Why is that Hillary Clintons family and Dems dealings with Russia are not looked at, but my non-dealings are?'"
875321478849363968,2017-06-15 11:57:57,b'You are witnessing the single greatest WITCH HUNT in American political history - led by some very bad and conflicted people!  #MAGA'
875305788708974592,2017-06-15 10:55:37,"b'They made up a phony collusion with the Russians story, found zero proof, so now they go for obstruction of justice on the phony story. Nice'"
875166406417010688,2017-06-15 01:41:45,"b'Just left hospital. Rep. Steve Scalise, one of the truly great people, is in very tough shape - but he is a real fighter. Pray for Steve!'"
874991696186142721,2017-06-14 14:07:31,"b'Happy birthday to U.S. ARMY and our soldiers. Thank you for your bravery, sacrifices, &amp; dedication. Proud to be your Commander-in-Chief!'"
874971795362897921,2017-06-14 12:48:26,"b'Rep. Steve Scalise of Louisiana, a true friend and patriot, was badly injured but will fully recover. Our thoughts and prayers are with him.'"
874822136782880768,2017-06-14 02:53:45,"b'Just got back from Wisconsin. Great day, great people!'"
874821262987730944,2017-06-14 02:50:17,"b""RT @TuckerCarlson: .@RichardGrenell : @realDonaldTrump told Tillerson he had the full support of the U.S. Gov't to bring #OttoWarmbier home\xe2\x80\xa6"""
874767922295705600,2017-06-13 23:18:19,b'The passage of the @DeptVetAffairs Accountability and Whistleblower Protection Act is GREAT news for veterans! I lo\xe2\x80\xa6 https://t.co/k45aci25BT'
874728484475744257,2017-06-13 20:41:37,"b'Just arrived in Wisconsin to discuss JOBS, JOBS, JOBS! #MAGA\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/lEJ9S817yb'"
874626492310978564,2017-06-13 13:56:20,"b'2 million more people just dropped out of ObamaCare. It is in a death spiral. Obstructionist Democrats gave up, have no answer = resist!'"
874619861019840512,2017-06-13 13:29:59,"b'Heading to the Great State of Wisconsin to talk about JOBS, JOBS, JOBS! Big progress being made as the Real News is reporting.'"
874609480301936640,2017-06-13 12:48:44,b'Fake News is at an all time high. Where is their apology to me for all of the incorrect stories???'
874608587473080320,2017-06-13 12:45:11,b'A.G. Lynch made law enforcement decisions for political purposes...gave Hillary Clinton a free pass and protection. Totally illegal!'
874599130018054145,2017-06-13 12:07:36,"b""RT @Corrynmb: @realDonaldTrump Liberals have an agenda and it's not in America's best interest. Keep fighting the good fight! We stand with\xe2\x80\xa6"""
874578159676665857,2017-06-13 10:44:16,"b'Well, as predicted, the 9th Circuit did it again - Ruled against the TRAVEL BAN at such a dangerous time in the history of our country. S.C.'"
874576057579565056,2017-06-13 10:35:55,b'The Fake News Media has never been so wrong or so dirty. Purposely incorrect stories and phony sources to meet their agenda of hate. Sad!'
874418514240688129,2017-06-13 00:09:54,b'Congratulations to the 2016 @ClemsonFB Tigers!\nFull ceremony: https://t.co/syJUGoMhHJ\n#NationalChampions\xf0\x9f\x8f\x88 https://t.co/F23NZoX2BI'
874373283919089664,2017-06-12 21:10:10,"b'Finally held our first full @Cabinet meeting today. With this great team, we can restore American prosperity and br\xe2\x80\xa6 https://t.co/b0roksHTFE'"
874325287143604224,2017-06-12 17:59:27,"b""Congratulations! \n\n'First New Coal Mine of Trump Era Opens in Pennsylvania' https://t.co/aIRllxNLQA"""
874309930232184833,2017-06-12 16:58:25,b'We will NEVER FORGET the victims who lost their lives one year ago today in the horrific #PulseNightClub shooting.\xe2\x80\xa6 https://t.co/7lZGgDJkxZ'
874218586155479040,2017-06-12 10:55:27,b'Ivanka on @foxandfriends now!'
874087477807599616,2017-06-12 02:14:29,"b'Great numbers on the economy. All of our work, including the passage of many bills &amp; regulation killing Executive Orders, now kicking in!'"
874086142425083904,2017-06-12 02:09:10,"b""RT @foxandfriends: .@GeraldoRivera: Chances of impeachment went from 3% to 0% with Comey's testimony https://t.co/kfeXKdpJGe"""
